latitude,longitude,snr,rssi
-31.4608646238,-64.2204250974,-18,-125
-31.4607912821,-64.2200351712,-8,-115
-31.4607929585,-64.2192834822,-11,-117
-31.4607996221,-64.2183834334,-23,-130
-31.4608429565,-64.2173351088,-14,-117
-31.4608279529,-64.2168984954,-13,-117
-31.4606929624,-64.2164734491,-22,-119
-31.4605196246,-64.2164218166,-8,-116
-31.4605196246,-64.2164267619,-17,-120
-31.4604896174,-64.2163867802,-19,-117
-31.4604762902,-64.216373453,-13,-123
-31.4604762902,-64.216373453,-13,-120
-31.4604762902,-64.216373453,-16,-123
-31.4604762902,-64.216373453,-9,-116
-31.4604296449,-64.2163751294,-24,-126
-31.4600046405,-64.2159301342,-22,-117
-31.4599979769,-64.2159101014,-20,-118
-31.4599979769,-64.2159101014,-22,-124
-31.4599979769,-64.2159101014,-18,-126
-31.4599979769,-64.2159101014,-14,-118
-31.4595729725,-64.2153618411,-11,-121
-31.4589779412,-64.2139368338,-16,-114
-31.4587179764,-64.2131767628,-16,-115
-31.4572912927,-64.2091134676,-22,-119
-31.4558329673,-64.2084818074,-14,-121
-31.4541296388,-64.2066784409,-21,-126
-31.4534979786,-64.2057934796,-11,-117
-31.4529079764,-64.2049800997,-14,-123
-31.4508363053,-64.2012685091,-16,-123
-31.4508429689,-64.2012751308,-17,-119
-31.4509896103,-64.200400144,-16,-126
-31.4506796475,-64.2000868284,-12,-118
-31.4494563087,-64.199620124,-20,-128
-31.4494079451,-64.199611826,-6,-112
-31.4494012815,-64.1996384804,-6,-114
-31.4493913071,-64.1996467785,-9,-116
-31.4485679527,-64.199358441,-10,-117
-31.4479529725,-64.1991334707,-17,-123
-31.4473929775,-64.1989351549,-11,-118
-31.4468979423,-64.1987684389,-17,-125
-31.4464479598,-64.1986184866,-11,-117
-31.445759638,-64.1983901636,-16,-123
-31.4449996089,-64.1981301569,-16,-124
-31.4441379492,-64.1978317612,-1,-108
-31.4432579751,-64.197553482,-11,-107
-31.4423629555,-64.1972867698,-2,-109
-31.441787957,-64.1970918068,-5,-108
-31.4414096398,-64.1969584507,-6,-108
-31.4409612918,-64.1968235021,-14,-109
-31.4403046115,-64.1966068299,-7,-110
-31.4397012822,-64.1964168121,-9,-111
-31.4390513075,-64.196208438,-6,-109
-31.4385462978,-64.196055133,-15,-120
-31.438501287,-64.1960517802,-18,-113
-31.4385062742,-64.1960517802,-20,-116
-31.4385079506,-64.1960401294,-5,-102
-31.437297981,-64.1956517958,-12,-112
-31.4353546367,-64.1950184592,-4,-111
-31.433512965,-64.193921771,-14,-124
-31.4322462917,-64.1927084905,-19,-115
-31.4318596346,-64.1922051572,0,-97
-31.4310279821,-64.1918817834,-10,-104
-31.4301612933,-64.1915051007,-8,-110
-31.4292162757,-64.1911435054,-13,-115
-31.4283296379,-64.1907334627,-12,-107
-31.4276796213,-64.1904834305,-4,-93
-31.4271296428,-64.1902551074,4,-92
-31.4271312772,-64.1902551074,4,-97
-31.4271446464,-64.1902417802,10,-92
-31.4270746156,-64.1902134494,-9,-102
-31.4269929758,-64.1901651696,-8,-103
-31.4034496347,-64.1951818225,7,-96
-31.4029746323,-64.1954668072,2,-103
-31.4025079698,-64.1957667955,0,-110
-31.4016613138,-64.1963117869,-6,-107
-31.400777945,-64.1969001126,-4,-109
-31.3999696362,-64.197478464,-22,-114
-31.3994446357,-64.1977801287,-1,-103
-31.3991713018,-64.1978900992,1,-106
-31.3986463013,-64.1981817895,-2,-106
-31.3979262958,-64.1987984461,-4,-111
-31.397221294,-64.1994917971,4,-98
-31.3966329682,-64.2002334279,-1,-111
-31.3957946102,-64.201151833,3,-93
-31.3945896278,-64.2018684858,5,-94
-31.3936563029,-64.2023834699,-9,-114
-31.3928629558,-64.2028468215,4,-94
-31.3919862925,-64.2032668387,2,-93
-31.3913962903,-64.2036118378,13,-90
-31.3912846434,-64.2035818306,2,-103
-31.3912962942,-64.2035751251,11,-93
-31.3912962942,-64.2035751251,3,-95
-31.3912962942,-64.2035751251,-7,-111
-31.3912962942,-64.2035751251,9,-90
-31.391104642,-64.2035968342,1,-94
-31.3902479696,-64.2034068164,3,-94
-31.3896596438,-64.2031484862,5,-95
-31.3889046439,-64.2032984384,7,-96
-31.3884146378,-64.2035518234,2,-96
-31.3877846121,-64.2038801425,-13,-121
-31.3869596233,-64.2043735013,4,-85
-31.3863329503,-64.2053100952,-12,-120
-31.3856446284,-64.2064401434,-18,-124
-31.3849346393,-64.2074567844,-8,-114
-31.3838179602,-64.207675133,0,-91
-31.3827662828,-64.2076518313,-14,-122
-31.3817312854,-64.2069234439,0,-100
-31.3805512811,-64.2072201633,-16,-123
-31.3796612906,-64.2073534356,-6,-111
-31.3788546163,-64.2072168105,-2,-106
-31.377986293,-64.2070584764,-3,-105
-31.3776496339,-64.2069884875,-3,-106
-31.3772012859,-64.2069134695,0,-109
-31.3764979604,-64.206778437,-3,-108
-31.3758446329,-64.2066468411,-7,-112
-31.3750713185,-64.2065084559,-5,-109
-31.3744029456,-64.2063851581,-6,-111
-31.3742329606,-64.2063551509,-12,-119
-31.3742396242,-64.2063551509,0,-106
-31.3742396242,-64.2063551509,3,-100
-31.3739413123,-64.2063067873,-8,-112
-31.3732912957,-64.2061701623,-17,-121
-31.369296313,-64.2055801601,-12,-104
-31.3723246108,-64.2059818209,0,-107
-31.3677929767,-64.2052784954,-2,-109
-31.3668996335,-64.2050567941,-7,-113
-31.3657879836,-64.204845151,-5,-112
-31.3645529521,-64.2045951189,-18,-122
-31.3630996139,-64.2043151633,-3,-111
-31.3616746484,-64.204060102,-12,-112
-31.3602296502,-64.20377847,-16,-121
-31.3587546448,-64.2034818345,-14,-118
-31.3572496322,-64.2032034715,4,-98
-31.3559446118,-64.2026451529,-13,-121
-31.3545896352,-64.2026485057,2,-102
-31.3529546193,-64.202388499,0,-96
-31.3511763147,-64.2026117929,-11,-113
-31.3477929595,-64.2048751582,-4,-95
-31.3445529767,-64.2070684508,11,-78
-31.3429363171,-64.2077951619,8,-79
-31.3414246409,-64.2078267616,-1,-94
-31.3400062971,-64.2077567727,2,-89
-31.3372696477,-64.2077284419,8,-70
-31.3360163017,-64.2078651507,0,-81
-31.3350763132,-64.2079167833,8,-78
-31.3347379776,-64.2076618058,7,-84
-31.3347212976,-64.2064517942,6,-82
-31.3347363013,-64.2048018166,-11,-110
-31.3347379776,-64.2031051517,13,-67
-31.3347596449,-64.2014985085,-10,-112
-31.3347746485,-64.1999401451,-13,-114
-31.3349963079,-64.1986851227,1,-98
-31.3358029823,-64.1972534937,-17,-115
-31.3362496539,-64.1960301549,-6,-99
-31.3362429483,-64.1947400962,-4,-110
-31.3362312975,-64.1931084749,0,-102
-31.3362279867,-64.1915367843,0,-101
-31.3362312975,-64.1899134611,2,-99
-31.3362362847,-64.188668497,-1,-108
-31.3362512883,-64.1879334879,2,-102
-31.3361796231,-64.1868151744,-4,-110
-31.3361712831,-64.1853451562,-22,-128
-31.336162985,-64.1839201488,-2,-108
-31.3361712831,-64.1831684598,-12,-118
-31.3357746514,-64.1831234489,-12,-116
-31.3357329515,-64.1831401289,-12,-118
-31.3424279547,-64.1878384371,-12,-110
-31.3413229684,-64.1874551327,-18,-125
-31.3414646226,-64.1873301585,-19,-126
-31.3421196264,-64.1875884888,0,-107
-31.3419679559,-64.1886784715,-12,-119
-31.3416362839,-64.1912934576,0,-106
-31.3416312967,-64.1924468075,-1,-107
-31.3373179693,-64.1890818086,-4,-111
-31.3385046373,-64.1890851614,15,-87
-31.3397029561,-64.1887951476,12,-89
-31.3412729704,-64.1885701773,-23,-114
-31.3429012808,-64.188373454,7,-96
-31.3446562837,-64.1882551015,-20,-116
-31.3466829859,-64.188356774,-7,-113
-31.3485929702,-64.1886218098,0,-97
-31.3506596123,-64.1889317726,13,-85
-31.3526496437,-64.1893534661,-9,-110
-31.3540363039,-64.1901434605,-2,-105
-31.3538679533,-64.1916251295,5,-98
-31.3534413145,-64.1933600997,-2,-107
-31.3531013026,-64.1950418447,-9,-114
-31.3530163101,-64.1968334765,11,-88
-31.3533129456,-64.1995968224,3,-93
-31.3530879753,-64.2007417903,1,-95
-31.3523379626,-64.2016551663,2,-91
-31.3515246247,-64.2024618407,-17,-117
-31.350401282,-64.203193497,-21,-118
-31.3490346127,-64.2040917856,0,-98
-31.3476629562,-64.2050068379,-17,-124
-31.3460496493,-64.206081817,-22,-118
-31.3444746478,-64.2071734761,12,-75
-31.3427996502,-64.2078850997,-16,-112
-31.340889624,-64.2078734488,-13,-115
-31.3391513011,-64.2078034599,-19,-124
-31.3378579735,-64.2078184635,9,-67
-31.3371429552,-64.2074734644,8,-76
-31.3370146283,-64.2068101206,11,-57
-31.3370529755,-64.2064900995,10,-53
-31.3370746427,-64.2062217948,-14,-121
-31.3370596391,-64.2060150971,13,-48
-31.3370496227,-64.2056651526,5,-52
-31.3370379719,-64.2051085104,15,-57
-31.3370596391,-64.2049301435,14,-67
-31.3372429513,-64.2048984599,-12,-109
-31.3353879523,-64.1832701323,-19,-123
-31.3336363022,-64.1869034358,-2,-106
-31.3338313072,-64.185763497,-8,-113
-31.3361696486,-64.1770717987,-14,-120
-31.338416292,-64.1761384738,0,-106
-31.3412079687,-64.1761418265,-2,-108
-31.3488596405,-64.176210139,-3,-107
-31.3528346323,-64.1761735101,-17,-122
-31.359394645,-64.1761917827,-1,-104
-31.363299648,-64.1761101429,-10,-115
-31.3695496141,-64.1760818121,-5,-110
-31.3721412985,-64.1760684849,-2,-107
-31.3749596297,-64.1760934629,-4,-104
-31.3778179844,-64.1760851649,-9,-113
-31.3823412784,-64.1760201213,3,-100
-31.3850729826,-64.1759851687,10,-93
-31.3867479802,-64.1722751708,-2,-106
-31.3898996177,-64.1719067861,-5,-109
-31.3934146107,-64.1734118407,1,-100
-31.396051306,-64.1727351696,-4,-104
-31.3970279654,-64.1695184466,1,-104
-31.3982813113,-64.1705267896,-6,-110
-31.4004196187,-64.1721667928,-7,-112
-31.4022296487,-64.1715651397,-10,-116
-31.4035596472,-64.1710501556,-12,-120
-31.4076529496,-64.1695651338,-19,-118
-31.410679613,-64.1684517656,-22,-128
-31.4122379764,-64.1728667655,-15,-121
-31.4106812893,-64.1800434348,-15,-121
-31.4094729542,-64.1840251741,-9,-115
-31.4104263119,-64.1846484524,-12,-119
-31.4120762895,-64.1853501015,-13,-109
-31.4137829707,-64.1860951689,2,-103
-31.4163312788,-64.1871801224,10,-92
-31.4166479471,-64.1872367841,6,-97
-31.4166796307,-64.1872684677,8,-91
-31.4168429521,-64.1873434857,12,-79
-31.4169896354,-64.1874018238,8,-90
-31.4178496187,-64.1877834518,2,-94
-31.4179263131,-64.1878551171,2,-95
-31.4183096175,-64.1879401096,8,-87
-31.4188246436,-64.1880934984,15,-75
-31.4203763015,-64.1888001767,3,-83
-31.4221179771,-64.18964348,-23,-126
-31.4246429416,-64.1907151063,-2,-98
-31.4297562798,-64.1929401663,-22,-118
-31.4334329597,-64.1947701034,-19,-126
-31.4349446359,-64.1950351392,-22,-117
-31.4349379723,-64.1950401683,-18,-127
-31.4349379723,-64.1950401683,-20,-122
-31.4391212964,-64.1963434705,-11,-117
-31.5143762862,-64.2759851293,-12,-111
